Section,Step,Action,Status,Owner,Date,Screenshot Link,Notes
0,Prerequisites,GitHub account created,Not started,,,,
0,Prerequisites,Git installed and configured,Not started,,,,
0,Prerequisites,Python 3.12+ installed,Not started,,,,
0,Prerequisites,All systemrequirements.md items verified,Not started,,,,
0,Prerequisites,Empty GitHub repository created,Not started,,,,
1,Prepare Repository,git init and initial commit,Not started,,,,
1,Prepare Repository,Create develop branch,Not started,,,,
1,Prepare Repository,Push main and develop to GitHub,Not started,,,,
1,Prepare Repository,Add branch protection rule on main (optional),Not started,,,,
2,Configure Scripts,Add .flake8 lint configuration,Not started,,,,
2,Configure Scripts,Add lint task to scripts.ps1 / scripts.sh,Not started,,,,
2,Configure Scripts,Add test task to scripts.ps1 / scripts.sh,Not started,,,,
2,Configure Scripts,Add build task and freeze.py,Not started,,,,
3,Validate Local Execution,Create and activate virtual environment,Not started,,,,
3,Validate Local Execution,pip install -r requirements.txt,Not started,,,,
3,Validate Local Execution,Run lint locally (passes),Not started,,,,
3,Validate Local Execution,Run tests locally (passes),Not started,,,,
3,Validate Local Execution,Run build locally and verify build/ output,Not started,,,,
4,Create Workflow Structure,Create .github/workflows directory,Not started,,,,
4,Create Workflow Structure,Create ci.yml skeleton,Not started,,,,
4,Create Workflow Structure,Confirm workflow appears in Actions tab,Not started,,,,
5,Configure CI Pipeline,Add actions/checkout step,Not started,,,,
5,Configure CI Pipeline,Add actions/setup-python step,Not started,,,,
5,Configure CI Pipeline,Add pip install step,Not started,,,,
6,Configure Validation Steps,Add flake8 step,Not started,,,,
6,Configure Validation Steps,Add pytest step,Not started,,,,
6,Configure Validation Steps,Add freeze.py build step,Not started,,,,
7,Configure Artifact Handling,Add upload-artifact step,Not started,,,,
7,Configure Artifact Handling,Confirm artifact downloadable from run page,Not started,,,,
7,Configure Artifact Handling,Verify artifact contents render in a browser,Not started,,,,
8,Trigger Workflow,Push commit to develop and observe run,Not started,,,,
8,Trigger Workflow,Open PR from feature branch and observe check,Not started,,,,
9,Validate Results,Open and read a workflow log,Not started,,,,
9,Validate Results,Fix any failed job (intentional or natural),Not started,,,,
9,Validate Results,Confirm fully green pipeline,Not started,,,,
10,Configure Deployment,Settings > Pages > Source set to GitHub Actions,Not started,,,,
10,Configure Deployment,Add permissions block (pages/id-token/contents),Not started,,,,
10,Configure Deployment,Add upload-pages-artifact step,Not started,,,,
10,Configure Deployment,Add deploy job using actions/deploy-pages,Not started,,,,
11,Validate Deployment,Locate deployment URL in run summary,Not started,,,,
11,Validate Deployment,Open URL and verify calculator UI renders,Not started,,,,
11,Validate Deployment,Capture screenshot of live deployment,Not started,,,,
